Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit,Unnamed: 11,Second CAS
"Occupation, wetland, inland (non-use)",,,,m2*a,land,,,natural resource/land,db1e4137-27a3-4b89-99af-42a18271c144,,,
"Oils, non-fossil",,,,kg,group,,,soil/agricultural,79459b74-727a-465f-b0cb-aae38d1d39cc,,,
"Oils, non-fossil",,,,kg,group,,,soil/forestry,d41ee922-fa80-45e3-a317-3e9b72ee385d,,,
"Oils, non-fossil",,,,kg,group,,,soil/industrial,be4835bf-5252-48c1-be48-14f59d533bbd,,,
"Oils, non-fossil",,,,kg,group,,,soil/unspecified,c161d9b4-2237-4053-b549-9e0cfc201e0d,,,
"Oils, non-fossil",,,,kg,group,,,water/ocean,ae8a126c-b807-4e88-88e8-e7f46d098301,,,
"Oils, non-fossil",,,,kg,group,,,water/surface water,8244db98-b33f-4f4e-98e5-39dd130a1713,,,
"Pd, Pd 2.0E-4%, Pt 4.8E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore, in ground",007440-05-3,Pd,Platin ab Erz,kg,geological,,0.0,natural resource/in ground,4b8ac2cb-3fa6-4047-a9ab-183d9e63ccac,,,
"Pd, Pd 7.3E-4%, Pt 2.5E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore, in ground",007440-05-3,Pd,Platin ab Erz,kg,geological,,0.0,natural resource/in ground,535bbc83-033b-42fe-9a68-8dc9eb420385,,,
"Perchlorate, ion",014797-73-0,,,kg,chemical,,,water/ground-,74f5020d-ee9e-400b-9e64-03dead9e4ffa,,,
"Perchlorate, ion",014797-73-0,,,kg,chemical,,,"water/ground-, long-term",fa30d40e-91e8-4a8a-b9e1-f1a6b330a096,,,
"Perchlorate, ion",014797-73-0,,,kg,chemical,,,water/ocean,de333139-a26f-42de-ba1b-c7c24c2964bc,,,
"Perchlorate, ion",014797-73-0,,,kg,chemical,,,water/surface water,b59faa48-28a7-485e-b8c1-6284dff23282,,,
"Perchlorate, ion",014797-73-0,,,kg,chemical,,,water/unspecified,4f722a22-e077-4626-830a-c57d856decc0,,,
"Phosphorus, 18% in apatite, 12% in crude ore, in ground",007723-14-0,,,kg,geological,,0.0,natural resource/in ground,a64e65fe-3c33-44f1-bd2d-ab7fac07653f,,,
