Flowable,CAS No,Formula,Synonyms,Unit,Class,Context,Flow UUID,Description
"Unspecified waste, unspecified treatment",,,"Unspecified waste, unspecified treatment",kg,Final waste flows,Final waste flows,419C0156-C722-4576-BED7-E47986EB099B,
Waste in bioactive landfill,,,Waste in bioactive landfill,kg,Final waste flows,Final waste flows,F3C7589B-7355-4A8F-A0D8-03BA9B7631F0,
Waste in incineration,,,Waste in incineration,kg,Final waste flows,Final waste flows,6D8396B9-A278-4726-BAB2-0781B38D4C8C,
Waste in inert landfill,,,Waste in inert landfill,kg,Final waste flows,Final waste flows,14A26C91-B5DA-4752-B756-1B7A34EB849B,
Waste returned to mine,,,Waste returned to mine,kg,Final waste flows,Final waste flows,F4F48E49-5FC4-434C-B37A-0A40BB08BBC5,
Waste to recycling,,,Waste to recycling,kg,Final waste flows,Final waste flows,079DBD06-A943-4D41-A547-38A08FBC513A,
"Waste, final, inert",,,"Waste, final, inert",kg,Final waste flows,Final waste flows,09CCFF2E-7F1B-47DB-B5DE-D215FFCD93E4,
"Waste, from drilling, unspecified",,,"Waste, from drilling, unspecified",kg,Final waste flows,Final waste flows,D492F915-D0E3-4407-A8F0-BF4D426CE144,
"Waste, from incinerator",,,"Waste, from incinerator",kg,Final waste flows,Final waste flows,154F9CC5-7700-4607-A1AA-1ADAAEF12075,
"Waste, industrial",,,"Waste, industrial",kg,Final waste flows,Final waste flows,A34CE9EA-8003-43E1-A6FE-8C66B699B040,
"Waste, inorganic",,,"Waste, inorganic",kg,Final waste flows,Final waste flows,8EBACFF4-7520-4AC0-885D-01B76146DE29,
"Waste, nuclear, high active/m3",,,"Waste, nuclear, high active/m3",m3,Final waste flows,Final waste flows,B9578A3F-0C0D-4243-AAD8-38EC16581402,
"Waste, nuclear, low and medium active/m3",,,"Waste, nuclear, low and medium active/m3",m3,Final waste flows,Final waste flows,9004CA8A-5519-4A70-8B5A-F6C2989799C7,
"Waste, nuclear, unspecified/kg",,,"Waste, nuclear, unspecified/kg",kg,Final waste flows,Final waste flows,F4CE17C6-EEA3-4521-86E2-9C1858700021,
"Waste, organic",,,"Waste, organic",kg,Final waste flows,Final waste flows,5C0A0BAE-CCC3-4F95-AB00-DCA750449A6E,
"Waste, solid",,,"Waste, solid",kg,Final waste flows,Final waste flows,CCE6D0E6-FF58-4815-AC14-123D5C680F40,
"Waste, toxic",,,"Waste, toxic",kg,Final waste flows,Final waste flows,B5890A98-3F34-402E-A971-465A07272713,
"Waste, unspecified",,,"Waste, unspecified",kg,Final waste flows,Final waste flows,A9E58A44-064A-4870-AB7C-07312074C42C,
Waxes and fats,,,Waxes and fats,kg,Final waste flows,Final waste flows,A584CB0A-6451-494A-AA63-96F2FA7D1BC8,
Welding dust,,,Welding dust,kg,Final waste flows,Final waste flows,F73DB2E8-086D-404F-9224-66AF461BA74A,
Wood ashes,,,Wood ashes,kg,Final waste flows,Final waste flows,CE6B1EA0-D0DD-4458-ACA0-417CF633BAE9,
Wood waste,,,Wood waste,kg,Final waste flows,Final waste flows,D11FBD76-FCF1-4231-A295-2AFAEA9A382D,
"Wood, sawdust",,,"Wood, sawdust",kg,Final waste flows,Final waste flows,A10DB2BD-750A-44D7-B915-E1169D7D4D08,
Zeolite waste,,,Zeolite waste,kg,Final waste flows,Final waste flows,2678C893-2146-45AC-AA80-6633F89E9E82,
"Zinc slag, unspecified",,,"Zinc slag, unspecified",kg,Final waste flows,Final waste flows,7DDF95FA-6CB5-41A6-BC44-22F38D16638D,
Zinc waste,,,Zinc waste,kg,Final waste flows,Final waste flows,9D10F68A-A536-47BC-8961-C3F017FCD44B,
